Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C1842981,NEUROTICISM,,-2.1,7.5,4.1,30244,141,86,3,3.5,2,158|538|4482,ADSL|ATP7A|MSRA,-0.0012,MyList
DisGeNET,35,C0022107,Irritable Mood,,-2.1,7.4,4.1,30244,142,86,3,3.5,2,2203|3704|26227,FBP1|ITPA|PHGDH,0,MyList
Cell Type Signatures,7,M41712,FAN OVARY CL10 PUTATIVE EARLY ATRESIA GRANULOSA CELL,,-2.1,5.1,3.7,30244,274,86,4,4.7,2.3,353|3417|4357|7167,APRT|IDH1|MPST|TPI1,0,MyList
DisGeNET,35,C0270846,Epileptic drop attack,,-2.1,7.4,4.1,30244,143,86,3,3.5,2,538|26227|100528021,ATP7A|PHGDH|ST20-MTHFS,0,MyList
DisGeNET,35,C3241937,Nonalcoholic Steatohepatitis,,-2.1,4.1,3.4,30244,434,86,5,5.8,2.5,48|586|5723|6470|25813,ACO1|BCAT1|PSPH|SHMT1|SAMM50,0,MyList
Transcription Factor Targets,16,M40830,RBM15 TARGET GENES,,-2.1,7.3,4,30244,145,86,3,3.5,2,3320|7167|79587,HSP90AA1|TPI1|CARS2,0,MyList
PaGenBase,36,PGB:00049,Cell-specific: Adipocyte,,-2.1,7.3,4,30244,145,86,3,3.5,2,48|2180|55902,ACO1|ACSL1|ACSS2,0,MyList
Transcription Factor Targets,16,M29885,ALKBH3 TARGET GENES,,-2.1,4,3.4,30244,438,86,5,5.8,2.5,4528|7360|51263|55163|84340,MTIF2|UGP2|MRPL30|PNPO|GFM2,0,MyList
PaGenBase,36,PGB:00026,Cell-specific: CD71+ EarlyErythroid,,-2.1,7.2,4,30244,146,86,3,3.5,2,538|2235|22934,ATP7A|FECH|RPIA,0,MyList
Transcription Factor Targets,16,M8509,NMYC 01,,-2.1,5,3.6,30244,280,86,4,4.7,2.3,3313|3329|5471|22934,HSPA9|HSPD1|PPAT|RPIA,0,MyList
DisGeNET,35,C0085413,"Polycystic Kidney, Autosomal Dominant",,-2.1,5,3.6,30244,280,86,4,4.7,2.3,353|2108|3320|5226,APRT|ETFA|HSP90AA1|PGD,0,MyList
Transcription Factor Targets,16,M40770,ATXN7L3 TARGET GENES,,-2.1,5,3.6,30244,281,86,4,4.7,2.3,2023|3313|3329|9054,ENO1|HSPA9|HSPD1|NFS1,0,MyList
DisGeNET,35,C2700617,Irritation - emotion,,-2.1,7.2,4,30244,147,86,3,3.5,2,2203|3704|26227,FBP1|ITPA|PHGDH,0,MyList
Cell Type Signatures,7,M39263,HU FETAL RETINA BLOOD,,-2.1,5,3.6,30244,282,86,4,4.7,2.3,353|2235|2987|6888,APRT|FECH|GUK1|TALDO1,0,MyList
DisGeNET,35,C0024433,Macrostomia,,-2.1,7.1,4,30244,148,86,3,3.5,2,158|5723|6888,ADSL|PSPH|TALDO1,0,MyList
DisGeNET,35,C0205698,Undifferentiated carcinoma,,-2.1,5,3.6,30244,283,86,4,4.7,2.3,2023|2180|3320|3417,ENO1|ACSL1|HSP90AA1|IDH1,0,MyList
Transcription Factor Targets,16,M40847,ELF5 TARGET GENES,,-2.1,4,3.4,30244,444,86,5,5.8,2.5,2820|3329|54516|79587|84340,GPD2|HSPD1|MTRF1L|CARS2|GFM2,0,MyList
DisGeNET,35,C0003872,"Arthritis, Psoriatic",,-2,3.9,3.3,30244,450,86,5,5.8,2.5,353|1737|2108|3329|5236,APRT|DLAT|ETFA|HSPD1|PGM1,0,MyList
DisGeNET,35,C0684276,Hypsarrhythmia,,-2,6.9,3.9,30244,152,86,3,3.5,2,16|25973|26227,AARS1|PARS2|PHGDH,0,MyList
COVID,200,COVID173,Proteome_Stukalov_A549_72h_ORF3_Up,,-2,4.8,3.5,30244,291,86,4,4.7,2.3,128|3320|5479|7360,ADH5|HSP90AA1|PPIB|UGP2,0,MyList
DisGeNET,35,C0027126,Myotonic Dystrophy,,-2,6.8,3.9,30244,155,86,3,3.5,2,5018|5226|5723,OXA1L|PGD|PSPH,0,MyList
